Broken/unreadable files:
dataset split   class_raw                                                                       filepath
malaria  test  gametocyte   ..\data\raw\malaria\test\gametocyte\96957ec3-de17-41cf-855b-1388814e5918.jpg
malaria  test  gametocyte   ..\data\raw\malaria\test\gametocyte\a1265844-329c-4a49-a37f-e0541b83a50c.jpg
malaria  test  gametocyte   ..\data\raw\malaria\test\gametocyte\bdfbad30-fa2f-4285-bf02-6064ab6d869c.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\0346611b-ea43-45bd-9f16-c6e8086273d2.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\0897f682-5301-49fc-a8d5-9df7762040bb.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\15a5849d-8bc7-4e01-938b-c1f55067787d.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\291fe50c-2134-4708-bfa4-09b36ffea123.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\3147f1e4-6fc4-4eff-a9dd-ddeee5e2de13.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\34f334e6-a163-4af7-a1ed-51a7ef15934a.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\37df4ffb-f268-4557-94d6-bf68d005feae.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\3e03b313-66eb-471f-a97a-7b2bf20dcff5.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\408745a6-79fb-4804-9c24-e2d6673f8f2e.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\47112c6b-aaf6-488d-8f3b-f9ed0cce9a95.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\4dcd5df9-c56c-471b-8d44-fa4b1ca9a600.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\5a2447bf-a92b-4a47-a384-4b2ff020ecdc.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\6040cf0d-9dd6-4798-9406-1afbbcd24d4c.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\604478c7-1259-441a-8ad0-7059e191c9e4.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\64985a1e-16bb-4016-a01c-c21a5b86e572.jpg
